Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu
Schriftliche Anfrage betreffend privater Gestaltungsplan Reidbach und Unterschriften von Grundeigentümern,Anfrage,Beantwortet,2013-11-06,"['Albert A. Stahel, SD']",['Albert A. Stahel']
Postulat betreffend Solarglasdach - Einbau von Solarzellen in der Überdachung des Busbahnhofs,Postulat,Nicht überwiesen,2010-05-22,"['Kuno Spirig, GLP']",['Kuno Spirig']
"Schriftliche Anfrage betreffend ""Städtische Liegenschaften-Bewirtschaftung""",Anfrage,Erledigt,2020-05-27,"[' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Pierre Rappazzo (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Pierre Rappazzo', 'Ernst Grand', 'Christian Nufer']"
Schriftliche Anfrage betreffend Tagesschule und Erhalt der Schuleinheit Berg,Kleine Anfrage,Beantwortet,2007-07-19,['Fredy Haab'],['Fredy Haab']
Interpellation betreffend Begabungs- und Begabtenförderung (Begafö),Interpellation,Beantwortet,2010-11-23,"['Aurel Greter, CVP\n Michael Vogt, CVP\n Beat Wiederkehr (keine Funktion)\n Monika Greter (keine Funktion)', '', '', '']","['Aurel Greter', 'Michael Vogt', 'Beat Wiederkehr', 'Monika Greter']"
Interpellation betreffend Umnutzung des Aucenter-Areals,Interpellation,Erledigt,2014-03-05,"[' Stucki Adrian', '', 'Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']"
Interpellation betreffend Prüfung von alternativen Finanzierungsformen,Interpellation,Erledigt,2014-03-14,"[' Baer Charlotte', '', 'SVP/BFPW-Fraktion\n Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Pascal Rubin (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Hanspeter Andreoli (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'SVP/BFPW-Fraktion', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']"
Postulat betreffend bergwärtsfahrende Velofahrer auf der Schönenbergstrasse,Postulat,Nicht überwiesen,2010-11-23,"['Tobias Mani, EVP\n Rahel Sonderegger (keine Funktion)\n Berti Stocker (keine Funktion)', '', '']","['Tobias Mani', 'Rahel Sonderegger', 'Berti Stocker']"
Schriftliche Anfrage betreffend Jugendliche ohne Lehrstellen 2007,Kleine Anfrage,Beantwortet,2007-08-10,['Willy Rüegg'],['Willy Rüegg']
"Schriftliche Anfrage betreffend ""Corona-Massnahmen der Stadt Wädenswil""",Anfrage,Erledigt,2020-05-15,"[' Gall Ursula', ' Utiger Joël', '', 'Eric Schenk (Mitunterzeichner/in)\n Lukas Wiederkehr (Erstunterzeichner/in)', '']","['Gall Ursula', 'Utiger Joël', 'Eric Schenk', 'Lukas Wiederkehr']"
Interpellation betreffend Realisierung der Überdachung des Busbahnhofs in Wädenswil,Interpellation,Beantwortet,2010-05-22,"['Kuno Spirig, GLP']",['Kuno Spirig']
Schriftliche Anfrage betreffend Fusion mit Berggemeinden,Anfrage,Beantwortet,2013-11-15,"[' Stucki Adrian', '', 'Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']"
Interpellation betreffend Auswikrungen kantonaler Kürzungen für Wädenswil,Interpellation,Erledigt,2016-04-22,"[' Roth Hans', '', 'Peter Hildebrand (keine Funktion)\n Beatrice Gmür (Mitunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Edith Brunner (Mitunterzeichner/in)\n Christian Gross (Erstunterzeichner/in)', '', '', '', '']","['Roth Hans', 'Peter Hildebrand', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross']"
Schriftliche Anfrage betreffend Sonntagsverkauf am Heiligabend,Anfrage,Beantwortet,2017-11-08,"['Martin Schlatter (Mitunterzeichner/in)\n Bruno Zürcher (Mitunterzeichner/in)\n Gabi Bachmann (Erstunterzeichner/in)', '', '']","['Martin Schlatter', 'Bruno Zürcher', 'Gabi Bachmann']"
Schriftliche Anfrage betreffend Zukunft der Schuleinheit im Wädenswiler Berg,Kleine Anfrage,Beantwortet,2012-07-16,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Christina Zurfluh Fraefel', 'Sandy Bossert']"
Schriftliche Anfrage betreffend geplanten Massnahmen zur Lärmsanierung und zur Lärmbekämpfung in Wädenswil,Kleine Anfrage,Beantwortet,2012-02-02,[' Erni Jonas'],['Erni Jonas']
Motion  für einheitlichen Voranschlag und einheitliche Rechnung an alle Gemeinderäte,Motion,Erledigt,2015-06-05,"[' Baer Charlotte', ' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', ' Zürrer André', '', 'Adrian Stocker (Mitunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Volkan Dogu (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Mitunterzeichner/in)\n Monika Greter (Mitunterzeichner/in)\n Roy Schärer (Mitunterzeichner/in)\n Pierre Rappazzo (Erstunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '', '', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Zürrer André', 'Adrian Stocker', 'Pascal Rubin', 'Volkan Dogu', 'Christina Zurfluh Fraefel', 'Monika Greter', 'Roy Schärer', 'Pierre Rappazzo', 'Ernst Grand', 'Hanspeter Andreoli', 'Sandy Bossert', 'Lukas Wiederkehr', 'Christian Nufer']"
Dringliche Interpellation betreffend Vorbereitung mögliche Gasmangellage,Dringliche Interpellation,Erledigt,2022-09-18,"[' Reiter Ulrich', ' Bachmann Severin', ' Frommherz Nico', ' Höhener Patrick', ' Wehrli Samuel']","['Reiter Ulrich', 'Bachmann Severin', 'Frommherz Nico', 'Höhener Patrick', 'Wehrli Samuel']"
Interpellation betreffend Mitgliedschaft der Stadt Wädenswil im Verein eco-bau,Interpellation,Erledigt,2017-06-21,"[' Baer Charlotte', ' Zürrer André', '', 'Markus Siegrist (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Erstunterzeichner/in)\n Roy Schärer (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '']","['Baer Charlotte', 'Zürrer André', 'Markus Siegrist', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Roy Schärer', 'Sandy Bossert']"
Interpellation betreffend Umbau Frohmatt,Interpellation,Erledigt,2013-01-16,"[' Furrer Astrid', ' Koch Thomas', '', 'Walter Münch (keine Funktion)\n Walter Münch (keine Funktion)\n Christian Nufer (keine Funktion)', '', '']","['Astrid Furrer', 'Koch Thomas', 'Walter Münch', 'Walter Münch', 'Christian Nufer']"
Schriftliche Anfrage betreffend Verwendung der freigewordenen Mittel aus dem Verkauf der Spitalliegenschaft Wädenswil,Kleine Anfrage,Beantwortet,2008-06-11,['Christoph Hirzel'],['Christoph Hirzel']
Postulat betreffend Tempo 30 auf der Zugerstrasse,Postulat,Erledigt,2018-04-19,"[' Roth Hans', '', 'Beatrice Gmür (Mitunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Edith Brunner (Mitunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)', '', '', '', '']","['Roth Hans', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross', 'Judith Fürst']"
Interpellation betreffend Velostreifen in der Bahnhofsunterführung in Wädenswil,Interpellation,Erledigt,2018-07-06,['Hansjörg Schmid (Verfasser/in)'],['Hansjörg Schmid']
Schriftliche Anfrage betreffend Fusion der Abwasserreinigungsanlagen von Wädenswil und Richterswil,Kleine Anfrage,Beantwortet,2008-06-10,['GP-Fraktion'],['GP-Fraktion']
"Motion betreffend Änderung der Anschlussgebühren bei Gebäudemehrwerten durch energetische Erneuerung von Gebäudehüllen, Sonnenkollektoren und Photovoltaikanlagen",Motion,Beantwortet,2009-04-15,['SVP-Fraktion'],['SVP-Fraktion']
Interpellation betreffend durchgehendes Trottoir Schlossbergstrasse sowie Tempo-30-Zone im Gebiet Etzelstrasse / Eintrachtstrasse / Seestrasse / Schlossbergstrasse,Interpellation,Erledigt,2012-12-14,"['Tobias Mani\n Hansjörg Schmid (keine Funktion)', '']","['Tobias Mani', 'Hansjörg Schmid']"
Schriftliche Anfrage zur Milderung von Hitzewellen durch Förderung von Bepflanzungen und Verhinderung von Bodenversiegelung,Anfrage,Beantwortet,2017-07-11,['Hansjörg Schmid (Erstunterzeichner/in)'],['Hansjörg Schmid']
Schriftliche Anfrage betreffend Elektrowiderstandsheizungen,Anfrage,Beantwortet,2015-06-29,"[' Stucki Adrian', '', 'Simon Kägi (keine Funktion)\n Rita Hug (Erstunterzeichner/in)', '']","['Stucki Adrian', 'Simon Kägi', 'Rita Hug']"
Interpellation betreffend Glasfasernetz,Interpellation,Beantwortet,2012-03-28,['Beatrice Gmür (Verfasser/in)'],['Beatrice Gmür']
Postulat betreffend verlängerte Öffnungszeiten beim Strandbad Rietliau und Seebad,Postulat,Nicht überwiesen,2009-05-17,['GP-Fraktion'],['GP-Fraktion']
Postulat betreffend Seeuferlücke endlich schliessen,Postulat,Abgeschrieben,2013-11-27,"['Rahel Sonderegger (keine Funktion)\n Christine Merseburger (keine Funktion)', '']","['Rahel Sonderegger', 'Christine Merseburger']"
Schriftliche Anfrage betreffend Gestaltung Tempo-30-Zone,Anfrage,Beantwortet,2016-03-17,"[' Schüpbach Nadia ', ' Koch Thomas', ' Schafflützel Roman', '', 'Walter Münch (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Schüpbach Nadia', 'Koch Thomas', 'Schafflützel Roman', 'Walter Münch', 'Ernst Grand', 'Christian Nufer']"
"Postulat betreffend einer Busverbindung zwischen Aamüli, Horgen und Hintere Rüti, Wädenswil",Postulat,Erledigt,2020-05-31,"[' Höhener Patrick', ' Reiter Ulrich', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Erstunterzeichner/in)', '']","['Höhener Patrick', 'Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']"
Schriftliche Anfrage betreffend Rückvergütung der CO2-Abgaben,Anfrage,Beantwortet,2010-11-19,"[' Stucki Adrian', '', 'Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']"
Schriftliche Anfrage betreffend Alterswohnungen in der Au,Kleine Anfrage,Beantwortet,2007-07-18,['Willy Rüegg'],['Willy Rüegg']
Schriftliche Anfrage betreffend Fussgängerschutz im Bereich Alte Landstrasse auf der Höhe Schellerstrasse,Anfrage,Beantwortet,2010-09-14,"['Tobias Mani, EVP']",['Tobias Mani']
"Interpellation betreffend Umsetzung des Artikels in der revidierten Polizeiverordnung gegen die Verschmutzung des öffentlichen Raums, auch ""Littering"" genannt",Interpellation,Erledigt,2014-07-10,"[' Koch Thomas', ' Schüpbach Nadia ', '', 'Oliver Küng (keine Funktion)\n Walter Münch (Mitunterzeichner/in)\n Ernst Grand (Erstunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '', '']","['Koch Thomas', 'Schüpbach Nadia', 'Oliver Küng', 'Walter Münch', 'Ernst Grand', 'Christian Nufer']"
Schriftliche Anfrage betreffend Steuermoral in Wädenswil,Anfrage,Beantwortet,2014-03-19,"[' Erni Jonas', '', 'Daniel Tanner (keine Funktion)\n Thomas Rom (keine Funktion)\n Beatrice Gmür (keine Funktion)\n Hansjörg Schmid (keine Funktion)\n Christian Gross (keine Funktion)', '', '', '', '']","['Erni Jonas', 'Daniel Tanner', 'Thomas Rom', 'Beatrice Gmür', 'Hansjörg Schmid', 'Christian Gross']"
Postulat betreffend Förderung von Elektromobilität und erneuerbare Energien,Postulat,Nicht überwiesen,2010-09-08,[' Erni Jonas'],['Erni Jonas']
Schriftliche Anfrage betreffend Standortförderung Stadt Wädenswil,Kleine Anfrage,Beantwortet,2007-07-09,['Willy Rüegg'],['Willy Rüegg']
Postulat betreffend der Nutzung von Laubbläser,Postulat,Beantwortet,2010-11-10,"[' Stucki Adrian', '', 'Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']"
Interpellation zum Städtischen Bauland in Wädenswil,Interpellation,Erledigt,2020-06-03,"[' Willi Daniel', ' Roth Hans', '', 'Edith Brunner (Mitunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)\n Karin Signer (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)\n Edith Höhn (Mitunterzeichner/in)', '', '', '', '']","['Willi Daniel', 'Roth Hans', 'Edith Brunner', 'Christian Gross', 'Karin Signer', 'Judith Fürst', 'Edith Höhn']"
Postulat betreffend Steigerung der Energieholznutzung,Postulat,Erledigt,2016-02-09,"[' Stucki Adrian', '', 'Simon Kägi (keine Funktion)\n Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '', '']","['Stucki Adrian', 'Simon Kägi', 'Rita Hug', 'Claudia Bühlmann']"
"Schriftliche Anfrage betreffend Einrichtung einer ""Family-App""",Anfrage,Erledigt,2013-11-18,"['Beat Wiederkehr (keine Funktion)\n Marc Lütolf (keine Funktion)\n Andreas Gut (keine Funktion)\n Monika Greter (keine Funktion)', '', '', '']","['Beat Wiederkehr', 'Marc Lütolf', 'Andreas Gut', 'Monika Greter']"
Interpellationen betreffend Deponien,Interpellation,Beantwortet,2009-05-29,['Daniel Tanner (Verfasser/in)'],['Daniel Tanner']
Postulat betreffend Wartehäuschen bei der Schiffstation,Postulat,Erledigt,2012-02-07,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Sandy Bossert']"
Schriftliche Anfrage betreffend öffentliche Bepflanzung,Anfrage,Eingereicht,2015-06-30,"['Rahel Sonderegger (keine Funktion)\n Berti Stocker (keine Funktion)\n Christine Merseburger (keine Funktion)', '', '']","['Rahel Sonderegger', 'Berti Stocker', 'Christine Merseburger']"
Schriftliche Anfrage betreffend Gemeindefusion: Auswirkungen der eingegangenen Einsprache,Anfrage,Beantwortet,2017-07-10,"['Michael Weiss (keine Funktion)\n Pierre Rappazzo (Mitunterzeichner/in)', '']","['Michael Weiss', 'Pierre Rappazzo']"
Schriftliche Anfrage betreffend Schlussabrechnung und Lehren der Welle (Überdachung Bushof),Kleine Anfrage,Beantwortet,2012-12-10,['Tobias Mani'],['Tobias Mani']
"Postulat betreffend Fussgängerschutz rund um Areal ""Alte Fabrik"" und ""Neuhof""",Postulat,Beantwortet,2008-06-11,"['Thomas Largiadèr, SP\n Christoph Hirzel, SP', '']","['Thomas Largiadèr', 'Christoph Hirzel']"
Schriftliche Anfrage betreffend Tempo-30-Zonen oberer Teil Unterortstrasse Au,Kleine Anfrage,Beantwortet,2009-04-15,['EVP-Fraktion'],['EVP-Fraktion']
Interpellation betreffend Schulhaus Bauten - quo vadis?,Interpellation,Erledigt,2018-06-13,"[' Baer Charlotte', ' Zürrer André', '', 'Adrian Stocker (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Erstunterzeichner/in)\n Roy Schärer (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '']","['Baer Charlotte', 'Zürrer André', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Roy Schärer', 'Sandy Bossert']"
Postulat betreffend Sicherheit von Badenden und Booten,Postulat,Abgeschrieben,2018-07-17,"[' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Pierre Rappazzo (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Pierre Rappazzo', 'Ernst Grand', 'Christian Nufer']"
Interpellation betreffend Zusammenarbeit mit der Stiftung Schwerpunktspital Wädenswil,Interpellation,,2007-05-24,['Christoph Hirzel'],['Christoph Hirzel']
Interpellation betreffend Seeuferweg Seeplatz - Giessen,Interpellation,Erledigt,2013-01-28,"[' Stucki Adrian', '', 'Heinz Wiher\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']"
Interpellation betreffend Verkehr rund um den Coop Wädenswil,Interpellation,Beantwortet,2008-07-06,"[' Erni Jonas', '', 'Denise Engel, SP']","['Erni Jonas', 'Denise Engel']"
Postulat betreffend Eisbahn Wädenswil,Postulat,Erledigt,2015-09-23,"[' Stucki Adrian', '', 'Simon Kägi (keine Funktion)\n Rita Hug (Mitunterzeichner/in)', '']","['Stucki Adrian', 'Simon Kägi', 'Rita Hug']"
"Postulat zur Einführung eines Projekts ""Wädi wischt""",Postulat,Erledigt,2012-05-10,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Pascal Rubin (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Hanspeter Andreoli (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']"
Postulat betreffend Tempo 30 auf der Zugerstrasse,Postulat,Abgeschrieben,2017-06-15,"[' Reiter Ulrich', '', 'Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']"
Postulat für ein Naturzentrum auf der Halbinsel Au,Postulat,Erledigt,2013-11-04,[' Erni Jonas'],['Erni Jonas']
Schriftliche Anfrage betreffend Erfolgskontrolle Gemeindefusion,Anfrage,Erledigt,2019-11-25,"[' Koch Thomas', ' Lüthi Beat', '', 'Roy Schärer (Mitunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Pierre Rappazzo (Mitunterzeichner/in)\n Hanspeter Andreoli (Erstunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '', '', '', '']","['Koch Thomas', 'Lüthi Beat', 'Roy Schärer', 'Pascal Rubin', 'Pierre Rappazzo', 'Hanspeter Andreoli', 'Lukas Wiederkehr', 'Christian Nufer']"
Postulat betreffend Aktualisierung Landschaftsentwicklungskonzept (LEK),Postulat,Abgeschrieben,2015-12-03,"[' Stucki Adrian', '', 'Simon Kägi (keine Funktion)\n Rita Hug (Mitunterzeichner/in)', '']","['Stucki Adrian', 'Simon Kägi', 'Rita Hug']"
"Interpellation betreffend ""Lädeli-Sterbe"" in Wädenswil",Interpellation,Erledigt,2020-02-22,"[' Utiger Joël', ' Gall Ursula', '', 'Eric Schenk (Mitunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)', '']","['Utiger Joël', 'Gall Ursula', 'Eric Schenk', 'Lukas Wiederkehr']"
Motion betreffend Bau von Photovoltaikanlagen der Stadt Wädenswil zur Einspeisung ins Stromnetz,Motion,Erledigt,2014-02-02,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Sandy Bossert']"
Postulat betreffend Ökostrom für Strassenbeleuchtung,Postulat,Beantwortet,2010-10-04,"['Thomas Hartmann, SP und 11 mitunterzeichnende Gemeinderäte']",['Thomas Hartmann']
Interpellation betreffend Busnetz und Busfahrplan,Interpellation,Beantwortet,2007-06-18,['GP-Fraktion'],['GP-Fraktion']
Postulat betreffend Seeuferweg im Giessen,Postulat,Nicht überwiesen,2010-02-18,['Willy Rüegg'],['Willy Rüegg']
Schriftliche Anfrage betreffend Handy-Regelung an den Schulen,Kleine Anfrage,,2007-06-22,['CVP-Fraktion'],['CVP-Fraktion']
Schriftliche Anfrage betreffend Mobilfunkantennen,Kleine Anfrage,Beantwortet,2010-02-08,['GP-Fraktion'],['GP-Fraktion']
Postulat betreffend aktiver Standortplanung von Mobilfunkantennen,Postulat,Beantwortet,2010-11-07,"[' Stucki Adrian', '', 'Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']"
