Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu,ID-Vorstoss
Schriftliche Anfrage betreffend privater Gestaltungsplan Reidbach und Unterschriften von Grundeigentümern,Anfrage,Beantwortet,6. November 2013,"['Albert A. Stahel, SD']",['Albert A. Stahel'],11
Postulat betreffend Solarglasdach - Einbau von Solarzellen in der Überdachung des Busbahnhofs,Postulat,Nicht überwiesen,22. Mai 2010,"['Kuno Spirig, GLP']",['Kuno Spirig'],12
"Schriftliche Anfrage betreffend ""Städtische Liegenschaften-Bewirtschaftung""",Anfrage,Erledigt,27. Mai 2020,"[' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Pierre Rappazzo (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Pierre Rappazzo', 'Ernst Grand', 'Christian Nufer']",13
Schriftliche Anfrage betreffend Tagesschule und Erhalt der Schuleinheit Berg,Kleine Anfrage,Beantwortet,19. Juli 2007,['Fredy Haab'],['Fredy Haab'],14
Interpellation betreffend Begabungs- und Begabtenförderung (Begafö),Interpellation,Beantwortet,23. November 2010,"['Aurel Greter, CVP\n Michael Vogt, CVP\n Beat Wiederkehr (keine Funktion)\n Monika Greter (keine Funktion)', '', '', '']","['Aurel Greter', 'Michael Vogt', 'Beat Wiederkehr', 'Monika Greter']",15
Interpellation betreffend Umnutzung des Aucenter-Areals,Interpellation,Erledigt,5. März 2014,"[' Stucki Adrian', '', 'Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",16
Interpellation betreffend Prüfung von alternativen Finanzierungsformen,Interpellation,Erledigt,14. März 2014,"[' Baer Charlotte', '', 'SVP/BFPW-Fraktion\n Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Pascal Rubin (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Hanspeter Andreoli (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']",17
Postulat betreffend bergwärtsfahrende Velofahrer auf der Schönenbergstrasse,Postulat,Nicht überwiesen,23. November 2010,"['Tobias Mani, EVP\n Rahel Sonderegger (keine Funktion)\n Berti Stocker (keine Funktion)', '', '']","['Tobias Mani', 'Rahel Sonderegger', 'Berti Stocker']",18
Schriftliche Anfrage betreffend Jugendliche ohne Lehrstellen 2007,Kleine Anfrage,Beantwortet,10. August 2007,['Willy Rüegg'],['Willy Rüegg'],19
"Schriftliche Anfrage betreffend ""Corona-Massnahmen der Stadt Wädenswil""",Anfrage,Erledigt,15. Mai 2020,"[' Gall Ursula', ' Utiger Joël', '', 'Eric Schenk (Mitunterzeichner/in)\n Lukas Wiederkehr (Erstunterzeichner/in)', '']","['Gall Ursula', 'Utiger Joël', 'Eric Schenk', 'Lukas Wiederkehr']",20
Interpellation betreffend Realisierung der Überdachung des Busbahnhofs in Wädenswil,Interpellation,Beantwortet,22. Mai 2010,"['Kuno Spirig, GLP']",['Kuno Spirig'],21
Schriftliche Anfrage betreffend Fusion mit Berggemeinden,Anfrage,Beantwortet,15. November 2013,"[' Stucki Adrian', '', 'Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",22
Interpellation betreffend Auswikrungen kantonaler Kürzungen für Wädenswil,Interpellation,Erledigt,22. April 2016,"[' Roth Hans', '', 'Peter Hildebrand (keine Funktion)\n Beatrice Gmür (Mitunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Edith Brunner (Mitunterzeichner/in)\n Christian Gross (Erstunterzeichner/in)', '', '', '', '']","['Roth Hans', 'Peter Hildebrand', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross']",23
Schriftliche Anfrage betreffend Sonntagsverkauf am Heiligabend,Anfrage,Beantwortet,8. November 2017,"['Martin Schlatter (Mitunterzeichner/in)\n Bruno Zürcher (Mitunterzeichner/in)\n Gabi Bachmann (Erstunterzeichner/in)', '', '']","['Martin Schlatter', 'Bruno Zürcher', 'Gabi Bachmann']",24
Schriftliche Anfrage betreffend Zukunft der Schuleinheit im Wädenswiler Berg,Kleine Anfrage,Beantwortet,16. Juli 2012,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Christina Zurfluh Fraefel', 'Sandy Bossert']",25
Schriftliche Anfrage betreffend geplanten Massnahmen zur Lärmsanierung und zur Lärmbekämpfung in Wädenswil,Kleine Anfrage,Beantwortet,2. Februar 2012,[' Erni Jonas'],['Erni Jonas'],26
Motion  für einheitlichen Voranschlag und einheitliche Rechnung an alle Gemeinderäte,Motion,Erledigt,5. Juni 2015,"[' Baer Charlotte', ' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', ' Zürrer André', '', 'Adrian Stocker (Mitunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Volkan Dogu (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Mitunterzeichner/in)\n Monika Greter (Mitunterzeichner/in)\n Roy Schärer (Mitunterzeichner/in)\n Pierre Rappazzo (Erstunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '', '', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Zürrer André', 'Adrian Stocker', 'Pascal Rubin', 'Volkan Dogu', 'Christina Zurfluh Fraefel', 'Monika Greter', 'Roy Schärer', 'Pierre Rappazzo', 'Ernst Grand', 'Hanspeter Andreoli', 'Sandy Bossert', 'Lukas Wiederkehr', 'Christian Nufer']",27
Dringliche Interpellation betreffend Vorbereitung mögliche Gasmangellage,Dringliche Interpellation,Erledigt,18. September 2022,"[' Reiter Ulrich', ' Bachmann Severin', ' Frommherz Nico', ' Höhener Patrick', ' Wehrli Samuel']","['Reiter Ulrich', 'Bachmann Severin', 'Frommherz Nico', 'Höhener Patrick', 'Wehrli Samuel']",28
Interpellation betreffend Mitgliedschaft der Stadt Wädenswil im Verein eco-bau,Interpellation,Erledigt,21. Juni 2017,"[' Baer Charlotte', ' Zürrer André', '', 'Markus Siegrist (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Erstunterzeichner/in)\n Roy Schärer (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '']","['Baer Charlotte', 'Zürrer André', 'Markus Siegrist', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Roy Schärer', 'Sandy Bossert']",29
Interpellation betreffend Umbau Frohmatt,Interpellation,Erledigt,16. Januar 2013,"[' Furrer Astrid', ' Koch Thomas', '', 'Walter Münch (keine Funktion)\n Walter Münch (keine Funktion)\n Christian Nufer (keine Funktion)', '', '']","['Astrid Furrer', 'Koch Thomas', 'Walter Münch', 'Walter Münch', 'Christian Nufer']",30
Schriftliche Anfrage betreffend Verwendung der freigewordenen Mittel aus dem Verkauf der Spitalliegenschaft Wädenswil,Kleine Anfrage,Beantwortet,11. Juni 2008,['Christoph Hirzel'],['Christoph Hirzel'],31
Postulat betreffend Tempo 30 auf der Zugerstrasse,Postulat,Erledigt,19. April 2018,"[' Roth Hans', '', 'Beatrice Gmür (Mitunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Edith Brunner (Mitunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)', '', '', '', '']","['Roth Hans', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross', 'Judith Fürst']",32
Interpellation betreffend Velostreifen in der Bahnhofsunterführung in Wädenswil,Interpellation,Erledigt,6. Juli 2018,['Hansjörg Schmid (Verfasser/in)'],['Hansjörg Schmid'],33
Schriftliche Anfrage betreffend Fusion der Abwasserreinigungsanlagen von Wädenswil und Richterswil,Kleine Anfrage,Beantwortet,10. Juni 2008,['GP-Fraktion'],['GP-Fraktion'],34
"Motion betreffend Änderung der Anschlussgebühren bei Gebäudemehrwerten durch energetische Erneuerung von Gebäudehüllen, Sonnenkollektoren und Photovoltaikanlagen",Motion,Beantwortet,15. April 2009,['SVP-Fraktion'],['SVP-Fraktion'],35
Interpellation betreffend durchgehendes Trottoir Schlossbergstrasse sowie Tempo-30-Zone im Gebiet Etzelstrasse / Eintrachtstrasse / Seestrasse / Schlossbergstrasse,Interpellation,Erledigt,14. Dezember 2012,"['Tobias Mani\n Hansjörg Schmid (keine Funktion)', '']","['Tobias Mani', 'Hansjörg Schmid']",36
Schriftliche Anfrage zur Milderung von Hitzewellen durch Förderung von Bepflanzungen und Verhinderung von Bodenversiegelung,Anfrage,Beantwortet,11. Juli 2017,['Hansjörg Schmid (Erstunterzeichner/in)'],['Hansjörg Schmid'],37
Schriftliche Anfrage betreffend Elektrowiderstandsheizungen,Anfrage,Beantwortet,29. Juni 2015,"[' Stucki Adrian', '', 'Simon Kägi (keine Funktion)\n Rita Hug (Erstunterzeichner/in)', '']","['Stucki Adrian', 'Simon Kägi', 'Rita Hug']",38
Interpellation betreffend Glasfasernetz,Interpellation,Beantwortet,28. März 2012,['Beatrice Gmür (Verfasser/in)'],['Beatrice Gmür'],39
Postulat betreffend verlängerte Öffnungszeiten beim Strandbad Rietliau und Seebad,Postulat,Nicht überwiesen,17. Mai 2009,['GP-Fraktion'],['GP-Fraktion'],40
Postulat betreffend Seeuferlücke endlich schliessen,Postulat,Abgeschrieben,27. November 2013,"['Rahel Sonderegger (keine Funktion)\n Christine Merseburger (keine Funktion)', '']","['Rahel Sonderegger', 'Christine Merseburger']",41
Schriftliche Anfrage betreffend Gestaltung Tempo-30-Zone,Anfrage,Beantwortet,17. März 2016,"[' Schüpbach Nadia ', ' Koch Thomas', ' Schafflützel Roman', '', 'Walter Münch (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Schüpbach Nadia', 'Koch Thomas', 'Schafflützel Roman', 'Walter Münch', 'Ernst Grand', 'Christian Nufer']",42
"Postulat betreffend einer Busverbindung zwischen Aamüli, Horgen und Hintere Rüti, Wädenswil",Postulat,Erledigt,31. Mai 2020,"[' Höhener Patrick', ' Reiter Ulrich', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Erstunterzeichner/in)', '']","['Höhener Patrick', 'Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']",43
Schriftliche Anfrage betreffend Rückvergütung der CO2-Abgaben,Anfrage,Beantwortet,19. November 2010,"[' Stucki Adrian', '', 'Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",44
Schriftliche Anfrage betreffend Alterswohnungen in der Au,Kleine Anfrage,Beantwortet,18. Juli 2007,['Willy Rüegg'],['Willy Rüegg'],45
Schriftliche Anfrage betreffend Fussgängerschutz im Bereich Alte Landstrasse auf der Höhe Schellerstrasse,Anfrage,Beantwortet,14. September 2010,"['Tobias Mani, EVP']",['Tobias Mani'],46
"Interpellation betreffend Umsetzung des Artikels in der revidierten Polizeiverordnung gegen die Verschmutzung des öffentlichen Raums, auch ""Littering"" genannt",Interpellation,Erledigt,10. Juli 2014,"[' Koch Thomas', ' Schüpbach Nadia ', '', 'Oliver Küng (keine Funktion)\n Walter Münch (Mitunterzeichner/in)\n Ernst Grand (Erstunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '', '']","['Koch Thomas', 'Schüpbach Nadia', 'Oliver Küng', 'Walter Münch', 'Ernst Grand', 'Christian Nufer']",47
Schriftliche Anfrage betreffend Steuermoral in Wädenswil,Anfrage,Beantwortet,19. März 2014,"[' Erni Jonas', '', 'Daniel Tanner (keine Funktion)\n Thomas Rom (keine Funktion)\n Beatrice Gmür (keine Funktion)\n Hansjörg Schmid (keine Funktion)\n Christian Gross (keine Funktion)', '', '', '', '']","['Erni Jonas', 'Daniel Tanner', 'Thomas Rom', 'Beatrice Gmür', 'Hansjörg Schmid', 'Christian Gross']",48
Postulat betreffend Förderung von Elektromobilität und erneuerbare Energien,Postulat,Nicht überwiesen,8. September 2010,[' Erni Jonas'],['Erni Jonas'],49
Schriftliche Anfrage betreffend Standortförderung Stadt Wädenswil,Kleine Anfrage,Beantwortet,9. Juli 2007,['Willy Rüegg'],['Willy Rüegg'],50
Postulat betreffend der Nutzung von Laubbläser,Postulat,Beantwortet,10. November 2010,"[' Stucki Adrian', '', 'Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",51
Interpellation zum Städtischen Bauland in Wädenswil,Interpellation,Erledigt,3. Juni 2020,"[' Willi Daniel', ' Roth Hans', '', 'Edith Brunner (Mitunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)\n Karin Signer (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)\n Edith Höhn (Mitunterzeichner/in)', '', '', '', '']","['Willi Daniel', 'Roth Hans', 'Edith Brunner', 'Christian Gross', 'Karin Signer', 'Judith Fürst', 'Edith Höhn']",52
Postulat betreffend Steigerung der Energieholznutzung,Postulat,Erledigt,9. Februar 2016,"[' Stucki Adrian', '', 'Simon Kägi (keine Funktion)\n Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '', '']","['Stucki Adrian', 'Simon Kägi', 'Rita Hug', 'Claudia Bühlmann']",53
"Schriftliche Anfrage betreffend Einrichtung einer ""Family-App""",Anfrage,Erledigt,18. November 2013,"['Beat Wiederkehr (keine Funktion)\n Marc Lütolf (keine Funktion)\n Andreas Gut (keine Funktion)\n Monika Greter (keine Funktion)', '', '', '']","['Beat Wiederkehr', 'Marc Lütolf', 'Andreas Gut', 'Monika Greter']",54
Interpellationen betreffend Deponien,Interpellation,Beantwortet,29. Mai 2009,['Daniel Tanner (Verfasser/in)'],['Daniel Tanner'],55
Postulat betreffend Wartehäuschen bei der Schiffstation,Postulat,Erledigt,7. Februar 2012,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Sandy Bossert']",56
Schriftliche Anfrage betreffend öffentliche Bepflanzung,Anfrage,Eingereicht,30. Juni 2015,"['Rahel Sonderegger (keine Funktion)\n Berti Stocker (keine Funktion)\n Christine Merseburger (keine Funktion)', '', '']","['Rahel Sonderegger', 'Berti Stocker', 'Christine Merseburger']",57
Schriftliche Anfrage betreffend Gemeindefusion: Auswirkungen der eingegangenen Einsprache,Anfrage,Beantwortet,10. Juli 2017,"['Michael Weiss (keine Funktion)\n Pierre Rappazzo (Mitunterzeichner/in)', '']","['Michael Weiss', 'Pierre Rappazzo']",58
Schriftliche Anfrage betreffend Schlussabrechnung und Lehren der Welle (Überdachung Bushof),Kleine Anfrage,Beantwortet,10. Dezember 2012,['Tobias Mani'],['Tobias Mani'],59
"Postulat betreffend Fussgängerschutz rund um Areal ""Alte Fabrik"" und ""Neuhof""",Postulat,Beantwortet,11. Juni 2008,"['Thomas Largiadèr, SP\n Christoph Hirzel, SP', '']","['Thomas Largiadèr', 'Christoph Hirzel']",60
Schriftliche Anfrage betreffend Tempo-30-Zonen oberer Teil Unterortstrasse Au,Kleine Anfrage,Beantwortet,15. April 2009,['EVP-Fraktion'],['EVP-Fraktion'],61
Interpellation betreffend Schulhaus Bauten - quo vadis?,Interpellation,Erledigt,13. Juni 2018,"[' Baer Charlotte', ' Zürrer André', '', 'Adrian Stocker (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Erstunterzeichner/in)\n Roy Schärer (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '']","['Baer Charlotte', 'Zürrer André', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Roy Schärer', 'Sandy Bossert']",62
Postulat betreffend Sicherheit von Badenden und Booten,Postulat,Abgeschrieben,17. Juli 2018,"[' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Pierre Rappazzo (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Pierre Rappazzo', 'Ernst Grand', 'Christian Nufer']",63
Interpellation betreffend Zusammenarbeit mit der Stiftung Schwerpunktspital Wädenswil,Interpellation,,24. Mai 2007,['Christoph Hirzel'],['Christoph Hirzel'],64
Interpellation betreffend Seeuferweg Seeplatz - Giessen,Interpellation,Erledigt,28. Januar 2013,"[' Stucki Adrian', '', 'Heinz Wiher\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",65
Interpellation betreffend Verkehr rund um den Coop Wädenswil,Interpellation,Beantwortet,6. Juli 2008,"[' Erni Jonas', '', 'Denise Engel, SP']","['Erni Jonas', 'Denise Engel']",66
Postulat betreffend Eisbahn Wädenswil,Postulat,Erledigt,23. September 2015,"[' Stucki Adrian', '', 'Simon Kägi (keine Funktion)\n Rita Hug (Mitunterzeichner/in)', '']","['Stucki Adrian', 'Simon Kägi', 'Rita Hug']",67
"Postulat zur Einführung eines Projekts ""Wädi wischt""",Postulat,Erledigt,10. Mai 2012,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Pascal Rubin (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Hanspeter Andreoli (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']",68
Postulat betreffend Tempo 30 auf der Zugerstrasse,Postulat,Abgeschrieben,15. Juni 2017,"[' Reiter Ulrich', '', 'Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']",69
Postulat für ein Naturzentrum auf der Halbinsel Au,Postulat,Erledigt,4. November 2013,[' Erni Jonas'],['Erni Jonas'],70
Schriftliche Anfrage betreffend Erfolgskontrolle Gemeindefusion,Anfrage,Erledigt,25. November 2019,"[' Koch Thomas', ' Lüthi Beat', '', 'Roy Schärer (Mitunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Pierre Rappazzo (Mitunterzeichner/in)\n Hanspeter Andreoli (Erstunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '', '', '', '']","['Koch Thomas', 'Lüthi Beat', 'Roy Schärer', 'Pascal Rubin', 'Pierre Rappazzo', 'Hanspeter Andreoli', 'Lukas Wiederkehr', 'Christian Nufer']",71
Postulat betreffend Aktualisierung Landschaftsentwicklungskonzept (LEK),Postulat,Abgeschrieben,3. Dezember 2015,"[' Stucki Adrian', '', 'Simon Kägi (keine Funktion)\n Rita Hug (Mitunterzeichner/in)', '']","['Stucki Adrian', 'Simon Kägi', 'Rita Hug']",72
"Interpellation betreffend ""Lädeli-Sterbe"" in Wädenswil",Interpellation,Erledigt,22. Februar 2020,"[' Utiger Joël', ' Gall Ursula', '', 'Eric Schenk (Mitunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)', '']","['Utiger Joël', 'Gall Ursula', 'Eric Schenk', 'Lukas Wiederkehr']",73
Motion betreffend Bau von Photovoltaikanlagen der Stadt Wädenswil zur Einspeisung ins Stromnetz,Motion,Erledigt,2. Februar 2014,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Sandy Bossert']",74
Postulat betreffend Ökostrom für Strassenbeleuchtung,Postulat,Beantwortet,4. Oktober 2010,"['Thomas Hartmann, SP und 11 mitunterzeichnende Gemeinderäte']",['Thomas Hartmann'],75
Interpellation betreffend Busnetz und Busfahrplan,Interpellation,Beantwortet,18. Juni 2007,['GP-Fraktion'],['GP-Fraktion'],76
Postulat betreffend Seeuferweg im Giessen,Postulat,Nicht überwiesen,18. Februar 2010,['Willy Rüegg'],['Willy Rüegg'],77
Schriftliche Anfrage betreffend Handy-Regelung an den Schulen,Kleine Anfrage,,22. Juni 2007,['CVP-Fraktion'],['CVP-Fraktion'],78
